#,Event,Date,Venue,City,State/Province,Country,Attendance,
218,UFC 153: Silva vs. Bonnar,10/13/2012,HSBC Arena,Rio de Janeiro,N/A, Brazil,16844,
219,UFC on Fuel TV: Franklin vs. Le,11/10/2012,CotaiArena,Macau, SAR, China,8415,
220,UFC 154: St-Pierre vs. Condit,11/17/2012,Bell Centre,Montreal, Quebec, Canada,17249,
221,UFC on Fox: Henderson vs. Diaz,12/8/2012,KeyArena,Seattle, Washington, U.S.,14387,
222,UFC on FX: Sotiropoulos vs. Pearson,12/15/2012,Gold Coast Convention and Exhibition Centre,Gold Coast,N/A, Australia,5133,
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,12/15/2012,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,2500,
224,UFC 155: dos Santos vs. Velasquez 2,12/29/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13561,
225,UFC on FX: Belfort vs. Bisping,1/19/2013,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,9116,
226,UFC on Fox: Johnson vs. Dodson,1/26/2013,United Center,Chicago, Illinois, U.S.,16091,
227,UFC 156: Aldo vs. Edgar,2/2/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10275,
228,UFC on Fuel TV: Barão vs. McDonald,2/16/2013,Wembley Arena,London, England, U.K.,10349,
229,UFC 157: Rousey vs. Carmouche,2/23/2013,Honda Center,Anaheim, California, U.S.,13257,
230,UFC on Fuel TV: Silva vs. Stann,3/3/2013,Saitama Super Arena,Saitama,N/A, Japan,14682,
231,UFC 158: St-Pierre vs. Diaz,3/16/2013,Bell Centre,Montreal, Quebec, Canada,20145,
232,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,Ericsson Globe Arena,Stockholm,N/A, Sweden,14506,
233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,4/13/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,5918,
234,UFC on Fox: Henderson vs. Melendez,4/20/2013,HP Pavilion,San Jose, California, U.S.,13506,
235,UFC 159: Jones vs. Sonnen,4/27/2013,Prudential Center,Newark, New Jersey, U.S.,15227,
236,UFC on FX: Belfort vs. Rockhold,5/18/2013,Arena Jaraguá,Jaraguá do Sul,N/A, Brazil,7642,
237,UFC 160: Velasquez vs. Bigfoot 2,5/25/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12380,
238,UFC on Fuel TV: Nogueira vs. Werdum,6/8/2013,Ginásio Paulo Sarasate,Fortaleza,N/A, Brazil,6286,
239,UFC 161: Evans vs. Henderson,6/15/2013,MTS Centre,Winnipeg, Manitoba, Canada,14754,
240,UFC 162: Silva vs. Weidman,7/6/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12964,
241,UFC on Fox: Johnson vs. Moraga,7/27/2013,KeyArena,Seattle, Washington, U.S.,8967,
242,UFC 163: Aldo vs. Korean Zombie,8/3/2013,HSBC Arena,Rio de Janeiro,N/A, Brazil,13873,
243,UFC Fight Night: Shogun vs. Sonnen,8/17/2013,TD Garden,Boston, Massachusetts, U.S.,14181,
244,UFC Fight Night: Condit vs. Kampmann 2,8/28/2013,Bankers Life Fieldhouse,Indianapolis, Indiana, U.S.,6417,
245,UFC 164: Henderson vs. Pettis,8/31/2013,BMO Harris Bradley Center,Milwaukee, Wisconsin, U.S.,9178,
246,UFC Fight Night: Teixeira vs. Bader,9/4/2013,Mineirinho Arena,Belo Horizonte,N/A, Brazil,5126,
247,UFC 165: Jones vs. Gustafsson,9/21/2013,Air Canada Centre,Toronto, Ontario, Canada,15504,
248,UFC Fight Night: Maia vs. Shields,10/9/2013,Ginásio José Corrêa,Barueri,N/A, Brazil,6621,
249,UFC 166: Velasquez vs. Dos Santos 3,10/19/2013,Toyota Center,Houston, Texas, U.S.,17238,
250,UFC Fight Night: Machida vs. Muñoz,10/26/2013,Phones 4u Arena,Manchester, England, U.K.,10355,
251,UFC: Fight for the Troops 3,11/6/2013,Fort Campbell,Fort Campbell, Kentucky, U.S.,N/A,
252,UFC Fight Night: Belfort vs. Henderson,11/9/2013,Goiânia Arena,Goiânia,N/A, Brazil,10565,
253,UFC 167: St-Pierre vs. Hendricks,11/16/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14856,
254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,11/30/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,4853,
255,UFC Fight Night: Hunt vs. Bigfoot,12/7/2013,Brisbane Entertainment Centre,Brisbane,N/A, Australia,11393,
256,UFC on Fox: Johnson vs. Benavidez 2,12/14/2013,Sleep Train Arena,Sacramento, California, U.S.,11573,
257,UFC 168: Weidman vs. Silva 2,12/28/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,15650,
258,UFC Fight Night: Saffiedine vs. Lim,1/4/2014,Marina Bay Sands,Marina Bay,N/A, Singapore,5216,
259,UFC Fight Night: Rockhold vs. Philippou,1/15/2014,Arena at Gwinnett Center,Duluth, Georgia, U.S.,5822,
260,UFC on Fox: Henderson vs. Thomson,1/25/2014,United Center,Chicago, Illinois, U.S.,10895,
261,UFC 169: Barão vs. Faber II,2/1/2014,Prudential Center,Newark, New Jersey, U.S.,14308,
262,UFC Fight Night: Machida vs. Mousasi,2/15/2014,Arena Jaraguá,Jaraguá do Sul,N/A, Brazil,7511,
263,UFC 170: Rousey vs. McMann,2/22/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10217,
264,The Ultimate Fighter China Finale: Kim vs. Hathaway,3/1/2014,CotaiArena,Macau, SAR, China,6000,
265,UFC Fight Night: Gustafsson vs. Manuwa,3/8/2014,The O2 Arena,London, England, U.K.,14604,
266,UFC 171: Hendricks vs. Lawler,3/15/2014,American Airlines Center,Dallas, Texas, U.S.,19324,
267,UFC Fight Night: Shogun vs. Henderson 2,3/23/2014,Ginásio Nélio Dias,Natal,N/A, Brazil,6828,
268,UFC Fight Night: Nogueira vs. Nelson,4/11/2014,du Arena,Abu Dhabi,N/A, United Arab Emirates,7963,
269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,4/16/2014,Colisée Pepsi,Quebec City, Quebec, Canada,5029,
270,UFC on Fox: Werdum vs. Browne,4/19/2014,Amway Center,Orlando, Florida, U.S.,17000,
271,UFC 172: Jones vs. Teixeira,4/26/2014,Baltimore Arena,Baltimore, Maryland, U.S.,13485,
272,UFC Fight Night: Brown vs. Silva,5/10/2014,U.S. Bank Arena,Cincinnati, Ohio, U.S.,6143,
273,UFC 173: Barão vs. Dillashaw,5/24/2014,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11036,
274,UFC Fight Night: Muñoz vs. Mousasi,5/31/2014,O2 World,Berlin,N/A, Germany,8000,
275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,5/31/2014,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,8986,
276,UFC Fight Night: Henderson vs. Khabilov,6/7/2014,Tingley Coliseum,Albuquerque, New Mexico, U.S.,8775,
277,UFC 174: Johnson vs. Bagautinov,6/14/2014,Rogers Arena,Vancouver, British Columbia, Canada,13506,
278,UFC Fight Night: Te Huna vs. Marquardt,6/28/2014,Vector Arena,Auckland,N/A, New Zealand,8089,
279,UFC Fight Night: Swanson vs. Stephens,6/28/2014,AT&T Center,San Antonio, Texas, U.S.,9227,
280,UFC 175: Weidman vs. Machida,7/5/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10088,
281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,7/6/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,6500,
282,UFC Fight Night: Cerrone vs. Miller,7/16/2014,Revel Casino Hotel,Atlantic City, New Jersey, U.S.,4115,
283,UFC Fight Night: McGregor vs. Brandao,7/19/2014,The O2,Dublin,N/A, Ireland,9500,
284,UFC on Fox: Lawler vs. Brown,7/26/2014,SAP Center,San Jose, California, U.S.,11482,
285,UFC Fight Night: Bader vs. Saint Preux,8/16/2014,Cross Insurance Center,Bangor, Maine, U.S.,5329,
286,UFC Fight Night: Bisping vs. Le,8/23/2014,CotaiArena,Macau, SAR, China,7022,
287,UFC Fight Night: Henderson vs. dos Anjos,8/23/2014,BOK Center,Tulsa, Oklahoma, U.S.,7119,
288,UFC 177: Dillashaw vs. Soto,8/30/2014,Sleep Train Arena,Sacramento, California, U.S.,11100,
289,UFC Fight Night: Jacaré vs. Mousasi,9/5/2014,Foxwoods Resort Casino,Mashantucket, Connecticut, U.S.,4086,
290,UFC Fight Night: Bigfoot vs. Arlovski,9/13/2014,Ginásio Nilson Nelson,Brasília,N/A, Brazil,8822,
291,UFC Fight Night: Hunt vs. Nelson,9/20/2014,Saitama Super Arena,Saitama,N/A, Japan,12395,
292,UFC 178: Johnson vs. Cariaso,9/27/2014,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10544,
293,UFC Fight Night: Nelson vs. Story,10/4/2014,Ericsson Globe Arena,Stockholm,N/A, Sweden,10026,
294,UFC Fight Night: MacDonald vs. Saffiedine,10/4/2014,Scotiabank Centre,Halifax, Nova Scotia, Canada,10782,
295,UFC 179: Aldo vs. Mendes 2,10/25/2014,Ginásio do Maracanãzinho,Rio de Janeiro,N/A, Brazil,11415,
296,UFC Fight Night: Rockhold vs. Bisping,11/8/2014,Allphones Arena,Sydney,N/A, Australia,9904,
297,UFC Fight Night: Shogun vs. Saint Preux,11/8/2014,Ginásio Municipal Tancredo Neves,Uberlândia,N/A, Brazil,5671,
298,UFC 180: Werdum vs. Hunt,11/15/2014,Arena Ciudad de México,Mexico City,N/A, Mexico,21000,
299,UFC Fight Night: Edgar vs. Swanson,11/22/2014,Frank Erwin Center,Austin, Texas, U.S.,10131,
300,UFC 181: Hendricks vs. Lawler II,12/6/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9617,
301,The Ultimate Fighter: A Champion Will Be Crowned Finale,12/12/2014,Palms Casino Resort,Las Vegas, Nevada, U.S.,1800,
302,UFC on Fox: dos Santos vs. Miocic,12/13/2014,Talking Stick Resort Arena,Phoenix, Arizona, U.S.,15300,
303,UFC Fight Night: Machida vs. Dollaway,12/20/2014,Ginásio José Corrêa,Barueri,N/A, Brazil,N/A,
304,UFC 182: Jones vs. Cormier,1/3/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11575,
305,UFC Fight Night: McGregor vs. Siver,1/18/2015,TD Garden,Boston, Massachusetts, U.S.,13828,
306,UFC on Fox: Gustafsson vs. Johnson,1/24/2015,Tele2 Arena,Stockholm,N/A, Sweden,30000,
307,UFC 183: Silva vs. Diaz,1/31/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13114,
308,UFC Fight Night: Henderson vs. Thatch,2/14/2015,1stBank Center,Broomfield, Colorado, U.S.,5807,
309,UFC Fight Night: Bigfoot vs. Mir,2/22/2015,Ginásio Gigantinho,Porto Alegre,N/A, Brazil,5080,
310,UFC 184: Rousey vs. Zingano,2/28/2015,Staples Center,Los Angeles, California, U.S.,17654,
311,UFC 185: Pettis vs. dos Anjos,3/14/2015,American Airlines Center,Dallas, Texas, U.S.,17160,
312,UFC Fight Night: Maia vs. LaFlare,3/21/2015,Ginásio do Maracanãzinho,Rio de Janeiro,N/A, Brazil,7707,
313,UFC Fight Night: Mendes vs. Lamas,4/4/2015,Patriot Center,Fairfax, Virginia, U.S.,5417,
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,Tauron Arena Kraków,Kraków,N/A, Poland,10000,
315,UFC on Fox: Machida vs. Rockhold,4/18/2015,Prudential Center,Newark, New Jersey, U.S.,13306,
316,UFC 186: Johnson vs. Horiguchi,4/25/2015,Bell Centre,Montreal, Quebec, Canada,10154,
317,UFC Fight Night: Miocic vs. Hunt,5/10/2015,Adelaide Entertainment Centre,Adelaide,N/A, Australia,7984,
318,UFC Fight Night: Edgar vs. Faber,5/16/2015,Mall of Asia Arena,Pasay,N/A, Philippines,13446,
319,UFC 187: Johnson vs. Cormier,5/23/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12615,
320,UFC Fight Night: Condit vs. Alves,5/30/2015,Goiânia Arena,Goiânia,N/A, Brazil,3500,
321,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,Smoothie King Center,New Orleans, Louisiana, U.S.,6231,
322,UFC 188: Velasquez vs. Werdum,6/13/2015,Arena Ciudad de México,Mexico City,N/A, Mexico,21036,
323,UFC Fight Night: Jędrzejczyk vs. Penne,6/20/2015,O2 World,Berlin,N/A, Germany,8155,
324,UFC Fight Night: Machida vs. Romero,6/27/2015,Seminole Hard Rock Hotel and Casino,Hollywood, Florida, U.S.,5604,
325,UFC 189: Mendes vs. McGregor,7/11/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,16019,
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,4844,
327,UFC Fight Night: Mir vs. Duffee,7/15/2015,Valley View Casino Center,San Diego, California, U.S.,5471,
328,UFC Fight Night: Bisping vs. Leites,7/18/2015,The SSE Hydro,Glasgow, Scotland, U.K.,10451,
329,UFC on Fox: Dillashaw vs. Barão 2,7/25/2015,United Center,Chicago, Illinois, U.S.,11663,
330,UFC 190: Rousey vs. Correia,8/1/2015,HSBC Arena,Rio de Janeiro,N/A, Brazil,14723,
331,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,Bridgestone Arena,Nashville, Tennessee, U.S.,7539,
332,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,SaskTel Centre,Saskatoon, Saskatchewan, Canada,7202,
333,UFC 191: Johnson vs. Dodson 2,9/5/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10873,
334,UFC Fight Night: Barnett vs. Nelson,9/27/2015,Saitama Super Arena,Saitama,N/A, Japan,10137,
335,UFC 192: Cormier vs. Gustafsson,10/3/2015,Toyota Center,Houston, Texas, U.S.,14622,
336,UFC Fight Night: Holohan vs. Smolka,10/24/2015,3Arena,Dublin,N/A, Ireland,9500,
337,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,10628,
338,UFC 193: Rousey vs. Holm,11/15/2015,Etihad Stadium,Melbourne,N/A, Australia,56214,
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,Arena Monterrey,Monterrey,N/A, Mexico,10410,
340,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,Olympic Gymnastics Arena,Seoul,N/A, South Korea,12156,
341,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,The Chelsea at The Cosmopolitan,Las Vegas, Nevada, U.S.,1643,
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Chelsea at The Cosmopolitan,Las Vegas, Nevada, U.S.,2566,
343,UFC 194: Aldo vs. McGregor,12/12/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,16516,
344,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,Amway Center,Orlando, Florida, U.S.,14459,
345,UFC 195: Lawler vs. Condit,1/2/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10300,
346,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,TD Garden,Boston, Massachusetts, U.S.,12022,
347,UFC on Fox: Johnson vs. Bader,1/30/2016,Prudential Center,Newark, New Jersey, U.S.,10555,
348,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,7422,
349,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,Consol Energy Center,Pittsburgh, Pennsylvania, U.S.,7330,
350,UFC Fight Night: Silva vs. Bisping,2/27/2016,The O2 Arena,London, England, U.K.,16734,
351,UFC 196: McGregor vs. Diaz,3/5/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14898,
352,UFC Fight Night: Hunt vs. Mir,3/20/2016,Brisbane Entertainment Centre,Brisbane,N/A, Australia,9552,
353,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,Arena Zagreb,Zagreb,N/A, Croatia,13177,
354,UFC on Fox: Teixeira vs. Evans,4/16/2016,Amalie Arena,Tampa, Florida, U.S.,11273,
355,UFC 197: Jones vs. Saint Preux,4/23/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11352,
356,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,Ahoy Rotterdam,Rotterdam,N/A, Netherlands,10421,
357,UFC 198: Werdum vs. Miocic,5/14/2016,Arena da Baixada,Curitiba,N/A, Brazil,45207,
358,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,5193,
359,UFC 199: Rockhold vs. Bisping 2,6/4/2016,The Forum,Inglewood, California, U.S.,15587,
360,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,TD Place Arena,Ottawa, Ontario, Canada,10490,
361,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,7760,
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,7/8/2016,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,8115,
363,UFC 200: Tate vs. Nunes,7/9/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,18202,
364,UFC Fight Night: McDonald vs. Lineker,7/13/2016,Denny Sanford Premier Center,Sioux Falls, South Dakota, U.S.,5671,
365,UFC on Fox: Holm vs. Shevchenko,7/23/2016,United Center,Chicago, Illinois, U.S.,10287,
366,UFC 201: Lawler vs. Woodley,7/30/2016,Philips Arena,Atlanta, Georgia, U.S.,10240,
367,UFC Fight Night: Rodríguez vs. Caceres,8/6/2016,Vivint Smart Home Arena,Salt Lake City, Utah, U.S.,6689,
368,UFC 202: Diaz vs. McGregor 2,8/20/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,15539,
369,UFC on Fox: Maia vs. Condit,8/27/2016,Rogers Arena,Vancouver, British Columbia, Canada,10533,
370,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,Barclaycard Arena,Hamburg,N/A, Germany,11763,
371,UFC 203: Miocic vs. Overeem,9/10/2016,Quicken Loans Arena,Cleveland, Ohio, U.S.,18875,
372,UFC Fight Night: Poirier vs. Johnson,9/17/2016,State Farm Arena,Hidalgo, Texas, U.S.,5624,
373,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,Ginásio Nilson Nelson,Brasília,N/A, Brazil,8410,
374,UFC Fight Night: Lineker vs. Dodson,10/1/2016,Moda Center,Portland, Oregon, U.S.,6240,
375,UFC 204: Bisping vs. Henderson 2,10/8/2016,Manchester Arena,Manchester, England, U.K.,16000,
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,Arena Ciudad de México,Mexico City,N/A, Mexico,11460,
377,UFC 205: Alvarez vs. McGregor,11/12/2016,Madison Square Garden,New York City, New York, U.S.,20427,
378,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,The SSE Arena,Belfast, Northern Ireland, U.K.,7222,
379,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,9028,
380,UFC Fight Night: Whittaker vs. Brunson,11/27/2016,Rod Laver Arena,Melbourne,N/A, Australia,13721,
381,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,Palms Casino Resort,Las Vegas, Nevada, U.S.,2044,
382,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,Times Union Center,Albany, New York, U.S.,6216,
383,UFC 206: Holloway vs. Pettis,12/10/2016,Air Canada Centre,Toronto, Ontario, Canada,18057,
384,UFC on Fox: VanZant vs. Waterson,12/17/2016,Golden 1 Center,Sacramento, California, U.S.,13136,
385,UFC 207: Nunes vs. Rousey,12/30/2016,T-Mobile Arena,Las Vegas, Nevada, U.S.,18533,
386,UFC Fight Night: Rodríguez vs. Penn,1/15/2017,Talking Stick Resort Arena,Phoenix, Arizona, U.S.,11589,
387,UFC on Fox: Shevchenko vs. Peña,1/28/2017,Pepsi Center,Denver, Colorado, U.S.,13233,
388,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,Toyota Center,Houston, Texas, U.S.,8119,
389,UFC 208: Holm vs. de Randamie,2/11/2017,Barclays Center,Brooklyn, New York, U.S.,15628,
390,UFC Fight Night: Lewis vs. Browne,2/19/2017,Scotiabank Centre,Halifax, Nova Scotia, Canada,8123,
391,UFC 209: Woodley vs. Thompson 2,3/4/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,13150,
392,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,Centro de Formação Olímpica do Nordeste,Fortaleza,N/A, Brazil,14069,
393,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,The O2 Arena,London, England, U.K.,15761,
394,UFC 210: Cormier vs. Johnson 2,4/8/2017,KeyBank Center,Buffalo, New York, U.S.,17110,
395,UFC on Fox: Johnson vs. Reis,4/15/2017,Sprint Center,Kansas City, Missouri, U.S.,12171,
396,UFC Fight Night: Swanson vs. Lobov,4/22/2017,Bridgestone Arena,Nashville, Tennessee, U.S.,10144,
397,UFC 211: Miocic vs. dos Santos 2,5/13/2017,American Airlines Center,Dallas, Texas, U.S.,17834,
398,UFC Fight Night: Gustafsson vs. Teixeira,5/28/2017,Ericsson Globe,Stockholm,N/A, Sweden,12668,
399,UFC 212: Aldo vs. Holloway,6/3/2017,Jeunesse Arena,Rio de Janeiro,N/A, Brazil,15412,
400,UFC Fight Night: Lewis vs. Hunt,6/11/2017,Spark Arena,Auckland,N/A, New Zealand,8649,
401,UFC Fight Night: Holm vs. Correia,6/17/2017,Singapore Indoor Stadium,Kallang,N/A, Singapore,8414,
402,UFC Fight Night: Chiesa vs. Lee,6/25/2017,Chesapeake Energy Arena,Oklahoma City, Oklahoma, U.S.,7605,
403,The Ultimate Fighter: Redemption Finale,7/7/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,6308,
404,UFC 213: Romero vs. Whittaker,7/8/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,12834,
405,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,The SSE Hydro,Glasgow, Scotland, U.K.,10589,
406,UFC on Fox: Weidman vs. Gastelum,7/22/2017,Nassau Veterans Memorial Coliseum,Uniondale, New York, U.S.,11198,
407,UFC 214: Cormier vs. Jones 2,7/29/2017,Honda Center,Anaheim, California, U.S.,16610,
408,UFC Fight Night: Pettis vs. Moreno,8/5/2017,Arena Ciudad de México,Mexico City,N/A, Mexico,10172,
409,UFC Fight Night: Volkov vs. Struve,9/2/2017,Ahoy Rotterdam,Rotterdam,N/A, Netherlands,10224,
410,UFC 215: Nunes vs. Shevchenko 2,9/9/2017,Rogers Place,Edmonton, Alberta, Canada,16232,
411,UFC Fight Night: Rockhold vs. Branch,9/16/2017,PPG Paints Arena,Pittsburgh, Pennsylvania, U.S.,7005,
412,UFC Fight Night: Saint Preux vs. Okami,9/23/2017,Saitama Super Arena,Saitama,N/A, Japan,8571,
413,UFC 216: Ferguson vs. Lee,10/7/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,10638,
414,UFC Fight Night: Cerrone vs. Till,10/21/2017,Ergo Arena,Gdańsk,N/A, Poland,11138,
415,UFC Fight Night: Brunson vs. Machida,10/28/2017,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,10265,
416,UFC 217: Bisping vs. St-Pierre,11/4/2017,Madison Square Garden,New York City, New York, U.S.,18201,
417,UFC Fight Night: Poirier vs. Pettis,11/11/2017,Ted Constant Convocation Center,Norfolk, Virginia, U.S.,8442,
418,UFC Fight Night: Werdum vs. Tybura,11/19/2017,Qudos Bank Arena,Sydney,N/A, Australia,10021,
419,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,Mercedes-Benz Arena,Shanghai,N/A, China,15128,
420,The Ultimate Fighter: A New World Champion Finale,12/1/2017,Park Theater,Las Vegas, Nevada, U.S,N/A,
421,UFC 218: Holloway vs. Aldo 2,12/2/2017,Little Caesars Arena,Detroit, Michigan, U.S.,17587,
422,UFC Fight Night: Swanson vs. Ortega,12/9/2017,Save Mart Center,Fresno, California, U.S.,7605,
423,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,Bell MTS Place,Winnipeg, Manitoba, Canada,8862,
424,UFC 219: Cyborg vs. Holm,12/30/2017,T-Mobile Arena,Las Vegas, Nevada, U.S.,13561,
